Date,Product,Region,Sales_Channel,Quantity,Unit_Price,Total_Sales,Customer_ID
2023-01-01,Headphones,North,Wholesale,3,105.59382000545538,316.78146001636617,CUST6734
2023-01-01,Smartwatch,East,Wholesale,3,247.96244459829336,743.8873337948801,CUST9322
2023-01-01,Keyboard,North,Retail,4,53.32442640800422,213.29770563201689,CUST7949
2023-01-01,Smartphone,West,Online,1,576.5090691551445,576.5090691551445,CUST7396
2023-01-01,Camera,North,Wholesale,3,440.987487454373,1322.9624623631191,CUST3047
2023-01-01,Tablet,West,Wholesale,4,407.3931655089634,1629.5726620358537,CUST4556
2023-01-01,Tablet,East,Online,1,365.20412743882235,365.20412743882235,CUST9792
2023-01-01,Smartphone,South,Online,2,551.7206536807661,1103.4413073615322,CUST7235
2023-01-01,Mouse,West,Online,4,22.671942605576092,90.68777042230437,CUST4152
2023-01-01,Headphones,South,Retail,2,100.40136042355623,200.80272084711245,CUST4843
2023-01-01,Keyboard,North,Wholesale,2,52.75132823361115,105.5026564672223,CUST1161
2023-01-01,Smartwatch,South,Retail,3,271.09371175115587,813.2811352534676,CUST8629
2023-01-01,Mouse,West,Online,2,24.12665165381632,48.25330330763264,CUST7863
2023-01-01,Smartphone,East,Online,4,582.8103992032308,2331.241596812923,CUST5859
2023-01-01,Camera,North,Wholesale,1,411.7095579311794,411.7095579311794,CUST9006
2023-01-01,Camera,West,Online,4,431.41393572462346,1725.6557428984938,CUST6258
2023-01-01,Tablet,North,Wholesale,3,421.7016277348757,1265.104883204627,CUST6892
2023-01-01,Smartwatch,East,Retail,1,270.74798377718906,270.74798377718906,CUST9392
2023-01-01,Printer,West,Retail,1,182.54233401144094,182.54233401144094,CUST3454
2023-01-01,Printer,North,Wholesale,4,205.50229885420853,822.0091954168341,CUST9154
2023-01-01,Tablet,North,Wholesale,1,437.7369676311283,437.7369676311283,CUST4840
2023-01-01,Monitor,South,Wholesale,3,285.36409936567946,856.0922980970383,CUST7938
2023-01-01,Camera,East,Wholesale,2,407.28772140696856,814.5754428139371,CUST2484
2023-01-01,Tablet,East,Wholesale,1,385.14847848610617,385.14847848610617,CUST7019
2023-01-01,Monitor,East,Wholesale,1,302.3904654781004,302.3904654781004,CUST5636
2023-01-01,Headphones,North,Wholesale,3,103.8956986607941,311.6870959823823,CUST6915
2023-01-01,Smartphone,South,Online,2,616.0084507812509,1232.0169015625017,CUST3693
2023-01-01,Headphones,South,Retail,3,96.48690042010548,289.46070126031645,CUST6592
2023-01-01,Mouse,South,Online,1,23.639675812709708,23.639675812709708,CUST7776
2023-01-01,Headphones,North,Online,3,90.13904261062382,270.4171278318714,CUST6575
2023-01-01,Camera,South,Online,1,415.7878830600315,415.7878830600315,CUST1663
2023-01-01,Keyboard,West,Online,4,48.636296023792944,194.54518409517178,CUST7585
2023-01-01,Headphones,West,Retail,3,99.9449701178477,299.83491035354314,CUST8280
